训练集mae,测试集mae,整体mae,训练集mse,测试集mse,整体mse,训练集r2,测试集r2,整体r2
0.455674593,0.487047985,0.458883235,0.373601319,0.393301415,0.375616101,0.869413074,0.890540239,0.873629811
0.460465309,0.427501623,0.457094023,0.378583553,0.358132537,0.376491971,0.871088691,0.890484786,0.873335138
0.461338718,0.436771407,0.458826152,0.381257263,0.322312103,0.375228781,0.87190217,0.890264688,0.873760119
0.459842809,0.518274971,0.465818826,0.378909832,0.372848334,0.378289906,0.870426859,0.889703393,0.872730251
0.462697558,0.423969664,0.458736751,0.382617011,0.308592633,0.375046336,0.872137149,0.889545482,0.873821499
0.465366993,0.396082297,0.458281059,0.381988106,0.309329752,0.374557138,0.872348854,0.889243045,0.873986082
0.469291027,0.384682701,0.460637903,0.381221772,0.332276187,0.376215974,0.869960695,0.888693049,0.873427993
0.446770355,0.590912267,0.461512142,0.355092667,0.599811983,0.380120779,0.868399422,0.888473872,0.872114282
0.46239951,0.419384549,0.458000252,0.380779291,0.336576479,0.376258549,0.871671351,0.888434966,0.873413669
0.469456609,0.398912695,0.46224189,0.380689381,0.338472699,0.376371766,0.871337008,0.888424862,0.873375579
0.45562685,0.464630887,0.456547717,0.369624998,0.427827302,0.375577506,0.871475176,0.887970397,0.873642795
0.458518749,0.496108856,0.462363191,0.373302635,0.426107916,0.378703175,0.869846333,0.887723287,0.872591213
0.454163843,0.492328348,0.458067031,0.368101306,0.485277902,0.380085276,0.869621436,0.885978716,0.872126226
0.454294732,0.480621145,0.456987206,0.37095033,0.419280056,0.375893143,0.871187375,0.885912376,0.873536604
0.452395861,0.521206995,0.459433364,0.368799984,0.454784482,0.377593853,0.870491728,0.885591691,0.872964427
0.459661661,0.447057079,0.458372556,0.377240029,0.370115711,0.376511405,0.871460787,0.885590845,0.8733286
0.457174735,0.468869121,0.458370752,0.374521522,0.37442002,0.374511141,0.87257944,0.885239627,0.874001557
0.457606213,0.447227163,0.456544719,0.377392192,0.361263824,0.375742699,0.871161096,0.885186678,0.873587219
0.456037486,0.481498328,0.458641435,0.374066615,0.406182229,0.377351166,0.871356072,0.885154566,0.873046075
0.459817378,0.448078757,0.458616838,0.372956498,0.399279767,0.375648651,0.872014053,0.8850825,0.87361886
0.459155951,0.461976801,0.459444447,0.379805418,0.36182242,0.377966248,0.871241056,0.885051848,0.87283914
0.45594747,0.495583206,0.460001125,0.376077992,0.387526651,0.377248877,0.870237122,0.884559665,0.873080489
0.452948737,0.539160004,0.461765798,0.365553088,0.491572576,0.378441444,0.870671166,0.884352101,0.872679268
0.452943045,0.492106426,0.456948391,0.375334325,0.379711114,0.375781951,0.872219608,0.884170885,0.873574013
0.461615325,0.431871161,0.458573308,0.376331665,0.375702637,0.376267333,0.871805114,0.88409149,0.873410714
0.455185998,0.501752627,0.459948494,0.374810183,0.386457089,0.376001344,0.872020179,0.883939393,0.873500202
0.451354145,0.495702134,0.455889735,0.366166324,0.456968363,0.375452896,0.872070998,0.883775787,0.873684719
0.466425604,0.373153278,0.456886389,0.389798698,0.235321879,0.373999932,0.873445345,0.883435883,0.874173546
0.458147837,0.419394224,0.454184399,0.384563813,0.286302162,0.374514326,0.873162324,0.883033268,0.874000486
0.46231053,0.41693292,0.457669638,0.376675708,0.367659036,0.375753549,0.872192128,0.882959256,0.873583569
0.449042136,0.510124447,0.45528919,0.369821912,0.444186052,0.377427335,0.871210371,0.882775668,0.873020449
0.461029387,0.423631924,0.457204647,0.377507616,0.353777697,0.375080693,0.872812203,0.882412698,0.873809941
0.462373417,0.4400855,0.460093971,0.379017671,0.347862183,0.375831314,0.872252082,0.88235288,0.873557406
0.45021677,0.523204339,0.457681408,0.370424732,0.443364135,0.377884443,0.870893301,0.882208314,0.872866662
0.455375101,0.471395846,0.457013587,0.37479977,0.4181771,0.379236088,0.870729774,0.881783169,0.872411923
0.456966578,0.441396304,0.455374163,0.378916777,0.344629472,0.375410121,0.872830641,0.881469011,0.87369911
0.461084788,0.42952714,0.457857301,0.379192309,0.34500531,0.375695912,0.872757632,0.881112583,0.87360296
0.461154676,0.406872001,0.455603038,0.385202534,0.28335985,0.374786805,0.872730905,0.880990645,0.873908815
0.462340594,0.428810692,0.4589114,0.386844549,0.282364844,0.376159125,0.872560085,0.880960997,0.873447119
0.468397603,0.352596765,0.456554336,0.390200592,0.232620304,0.374084426,0.871176704,0.880956623,0.874145119
0.451988736,0.480041452,0.454857764,0.372789499,0.406484966,0.376235626,0.872440753,0.880199129,0.873421381
0.464096557,0.420305145,0.45961789,0.389577213,0.25713994,0.376032492,0.87291751,0.879795336,0.873489722
0.453996694,0.529229772,0.461690986,0.366583262,0.466462571,0.376798191,0.872074754,0.878985796,0.873232115
0.461039394,0.427325439,0.457591376,0.382471364,0.321833791,0.376269794,0.87220139,0.878397974,0.873409886
0.453198887,0.466990264,0.454609369,0.371792247,0.398519965,0.374525764,0.873295241,0.878058257,0.873996638
