formula_pretty,material_id,Cohesive_energy,Quality_index
ScAl3,mp-2121,3.97,13.27
Ga2Pt,mp-22095,4.43,8.28
V3Ga,mp-22568,4.85,7.79
In2Pt,mp-22682,4.12,9.72
BaBi3,mp-23201,2.61,14.01
YCd3,mp-2349,2.27,15.72
MnPd,mp-238,3.58,10.46
CaMg2,mp-2432,1.82,17.37
CaSn,mp-2450,3.24,27.11
Mg2Cu,mp-2481,2.29,46.72
AlCu,mp-2500,3.65,12.35
AlMo3,mp-259,6.22,13.94
AlNi3,mp-2593,4.61,8.07
Zr3Rh5,mp-2626,6.74,26.89
MgCu,mp-2672345,2.6,8.68
MnIr,mp-2728,5.03,3.91
ZrBi2,mp-29642,3.86,85.61
NaAg2,mp-30352,2.45,14.03
BaAu5,mp-30364,3.93,13.26
Mn2Au5,mp-30410,3.63,12.47
SrAu,mp-30420,3.55,33.07
Sr7Au3,mp-30422,2.88,41.07
VAu2,mp-30423,4.3,12.19
SrCd,mp-30496,1.77,13.13
Ti2Co,mp-30566,4.28,9.25
MgGa2,mp-30651,2.49,13.35
Zr2Ga3,mp-30686,4.8,20.67
IrW,mp-30744,8.22,7.61
MoRh3,mp-30787,6.26,8.85
Ti2Pd3,mp-30840,4.85,17
YZn3,mp-30884,2.48,17.33
Ga5Rh3,mp-30923,4.53,44.27
Zr3Fe,mp-31205,5.89,13.4
BaPt,mp-31498,4.62,67.08
GePd2,mp-423,4.42,17.75
InPt,mp-510438,4.66,15.94
In2Pt3,mp-510439,5.01,55.52
RuAl,mp-542569,5.69,5.63
TiAl3,mp-542915,4.15,14.48
NbCr2,mp-548,5.3,9.37
YMn2,mp-558,3.24,8.11
Li3Ga7,mp-567306,2.66,24.97
Fe2Ge,mp-568258,3.92,7.82
CaAu5,mp-568920,3.94,20
InBi,mp-569765,2.34,13.37
CuBi,mp-569792,2.76,9.36
Ti3Pd5,mp-570199,4.84,14.5
CaIr2,mp-570436,5.78,12.89
TaCo2,mp-570463,5.85,13.61
Co2Sn,mp-571365,3.82,8.83
Cu3Sn,mp-581786,3.4,10.4
Al4Cu9,mp-593,3.67,23.33
TiCo3,mp-608,4.74,6.19
Ag3Sn,mp-611,3.02,13.58
Ba5Pb3,mp-622106,2.49,91.35
Al3Ni,mp-622209,4.06,16.45
Y5Bi3,mp-624187,4.3,110.6
TiCo2,mp-695,4.83,7.4
YCu,mp-712,4.18,11.64
V3Ni,mp-7226,5.25,15.15
BaPt2,mp-747,5.24,18.72
BaSn3,mp-7759,3.29,19.69
VSb,mp-7821,4.03,17.64
TiCo,mp-823,4.99,7.1
Sc3Al,mp-862259,4.04,13.52
Re3Ni,mp-862604,6.92,11.68
Ir3Rh,mp-863709,6.66,4.47
Mn3Ir,mp-864735,4.07,6.39
CdAu3,mp-865144,3.27,12.12
V3Os,mp-866121,6.38,9.05
TaAl3,mp-869,4.88,59.06
K2Au3,mp-8700,3.02,27.59
MoPt2,mp-952,6.53,8.44
Cr3Rh,mp-958,4.45,8.53
Tl3Ir,mp-971750,2.61,13.81
ZnCr3,mp-971752,3.17,15.8
YZr,mp-971933,5.2,12.35
Zn3Cu,mp-972042,1.95,9.26
Sr3Bi,mp-972249,2.26,24.5
Mn3Tl,mp-972987,2.13,18.42
MgCr,mp-973060,2.23,11.74
MgIn3,mp-973320,2.29,8.41
NaCo3,mp-973352,2.93,14.13
SbPt3,mp-973354,5.18,12.16
K3V,mp-973444,1.19,32.75
Hf3Pt,mp-974049,6.69,14.52
In3Ge,mp-974310,2.74,8.69
OsRu3,mp-974326,7.11,6.68
RuRh3,mp-974335,5.96,3.98
RuRh3,mp-974341,5.96,4.86
Ir3Ru,mp-974358,6.92,4.11
Re3W,mp-974416,8.12,5.25
Re3Mo,mp-974420,7.61,4.96
Re3Ru,mp-974455,7.76,7.34
Re3Mo,mp-974589,7.61,6.24
Pt3Rh,mp-974616,5.83,3.82
Re3Ru,mp-974625,7.76,7.3
K3Tl,mp-974641,1.18,21.37
Rb3Y,mp-974732,1.11,24.94
Rb3Tl,mp-974739,1.04,26.27
Rb3Ti,mp-974795,0.95,61.71
Rb3Sr,mp-974799,0.94,27.66
Rb3Pb,mp-974832,1.15,55.46
Rb3Mg,mp-974940,0.84,32.41
Rb3Li,mp-974959,0.91,12.42
Rb3Cd,mp-975019,0.89,39.93
Rb3Co,mp-975050,0.88,59.47
RbMg3,mp-975110,1.1,21.9
Li3Mg,mp-976254,1.63,10.29
HfSb3,mp-976582,3.59,11.44
Hf3Au,mp-976725,5.98,7.25
NiAg3,mp-976762,3.15,10.67
Nb3Ru,mp-977434,7.55,9.69
MgZn2,mp-978269,1.53,14.84
MgCd,mp-978274,1.43,12.5
Mg3Os,mp-978290,3.02,16.17
TaW3,mp-979289,8.79,9.01
Tl3V,mp-981210,2.08,24.6
ZnIn3,mp-981211,2.14,9.08
Tl3Zn,mp-981380,1.61,9.52
K3Cd,mp-983062,1,26.21
Na3Cd,mp-983509,1.18,20.31
Al3Tl,mp-983584,2.67,6.53
Al3Ga,mp-983594,3.21,5.36
BeAg3,mp-984719,2.84,8.54
Ag3Ge,mp-985282,3.09,9.77
Ag3Ge,mp-985283,3.08,14.45
Ag3Pd,mp-985296,3.24,10.63
Al2Cu,mp-985806,3.6,9.24
Al3Cu,mp-985825,3.51,7.45
ZnCu,mp-987,2.51,7.22
VMo,mp-995205,5.7,5.51
Al2Cu,mp-998,3.58,7.65
